B02,B03,B04,B05,B06,B07.,B08,B8A,B11,B12,SCL,NDVI,x,y,target
187,359,160,578,2775,3496,3890,3803,1436,578,4,0,523517.998,6821186.481,"449,0052685"
252,439,211,691,2586,3158,3352,3366,1466,645,4,0,523313.902,6820991.057,"150,4285602"
201,385,159,626,2730,3439,3542,3633,1342,564,4,0,523511.716,6820790.095,"318,9824644"
198,366,162,635,2512,3130,2822,3336,1218,527,4,0,523714.962,6820999.507,"270,9365416"
250,434,171,655,2552,3062,3484,3516,1416,568,4,0,523715.415,6821189.972,"186,5219785"
216,436,194,670,2658,3195,3704,3509,1494,637,4,0,523313.587,6821190.76,"163,7964929"
251,418,206,629,2311,2843,3240,3054,1372,609,4,0,523320.169,6820792.274,"272,3912873"
218,400,177,617,2330,2702,2720,3067,1239,521,4,0,523721.485,6820790.066,"93,73279862"
180,286,154,439,1551,1826,2062,2001,915,422,4,0,531324.343,6821832.304,"697,1770072"
183,307,155,508,1729,2031,2058,1985,924,464,4,0,531514.157,6821634.112,"456,0824094"
166,214,122,377,1140,1351,1404,1510,879,435,4,0,531713.19,6821825.078,"1326,570732"
178,291,167,437,1477,1735,1988,1873,791,397,4,0,531293.743,6821627.022,"663,5212707"
165,271,166,504,1464,1784,1582,1907,940,482,4,0,531719.16,6821637.353,"690,4144059"
203,334,154,529,1591,1993,2078,2122,907,428,4,0,523852.246,6810001.466,"238,7355508"
239,508,248,769,2347,2797,3144,3080,1258,566,4,0,523650.534,6809791.265,"142,9582449"
163,302,141,455,1459,1676,1930,1883,757,353,4,0,523843.013,6809601.65,"322,1671778"
194,346,178,890,2367,2778,2542,2978,1559,950,4,0,524057.085,6809801.394,"556,1846347"
215,342,182,524,1586,2115,2240,2207,918,388,4,0,524036.444,6810005.946,"326,5707321"
240,444,197,775,2428,2809,2858,3115,1447,669,4,0,523642.848,6809998.216,"78,55626327"
197,313,146,486,1577,1931,2176,2074,820,372,4,0,523639.295,6809609.298,"306,597468"
191,340,172,613,2526,3062,3340,3367,1306,570,4,0,524045.212,6809609.12,"432,1774003"
198,333,196,561,1766,2141,1886,2162,1032,494,4,0,516945.212,6820083.489,"511,5986475"
198,358,178,569,1561,1908,1948,2158,1008,521,4,0,517145.508,6819875.589,"251,710309"
208,326,178,541,1620,1975,1914,2169,1034,470,4,0,517347.278,6820082.081,"232,9952033"
198,340,178,527,1719,2032,2154,2201,1010,477,4,0,517346.296,6820275.565,"514,9799481"
251,372,228,581,2355,2905,3250,3086,1321,590,4,0,516944.239,6819877.477,"230,872061"
200,336,171,622,1766,2106,2036,2528,1184,554,4,0,517336.781,6819874.6,"175,8276323"
175,294,152,489,1528,1864,1862,2108,929,430,4,0,516340.094,6820724.427,0
193,305,162,512,1849,2255,2162,2430,1054,462,4,0,516539.572,6820933.939,"253,2043721"
205,320,173,495,1592,1904,2062,2044,975,446,4,0,516536.052,6820737.015,"587,4026893"
225,332,209,625,2118,2578,2798,2763,1495,703,4,0,533162.285,6813214.628,"398,7182512"
298,503,368,982,2268,2667,2822,2837,1562,816,4,0,532961.875,6813024.642,"107,8870803"
166,288,154,538,1805,2169,2100,2201,916,404,4,0,533162.477,6812815.261,"404,4979162"
189,346,153,521,1649,2068,2388,2188,930,410,4,0,533367.397,6813034.502,"394,1181096"
214,319,172,612,2185,2737,2792,3018,1361,623,4,0,533362.893,6813219.937,"542,2662578"
168,340,153,562,1680,2073,2050,2199,998,464,4,0,532962.419,6813218.046,"452,7797437"
189,365,168,606,1843,2204,2230,2369,1094,494,4,0,532963.245,6812816.181,"508,6105213"
203,351,163,561,2137,2601,2994,2862,1132,488,4,0,533358.574,6812820.532,"337,1864433"
171,276,146,493,1518,1788,1902,1909,877,405,4,0,526611.261,6806121.251,"258,3942754"
200,300,180,533,1837,2233,1876,2399,1061,480,4,0,526408.13,6805932.795,"272,2340175"
197,374,192,629,2322,2881,2812,3057,1411,636,4,0,526624.407,6805736.153,"182,629551"
165,277,152,457,1610,1984,1968,2113,932,427,4,0,526812.398,6805935.707,"800,1100889"
204,304,160,489,1563,1921,2076,2081,873,380,4,0,526795.229,6806120.761,"1175,041283"
207,355,198,551,2115,2555,2742,2647,1143,501,4,0,526407.428,6806144.895,"392,7813163"
151,247,128,513,1764,2327,1830,2394,1100,482,4,0,526414.381,6805738.732,"414,0913738"
196,290,140,484,1540,1781,2024,1923,829,386,4,0,526806.37,6805740.003,"584,0213887"
171,321,138,462,1545,1884,1948,2056,831,382,4,0,531527.322,6820831.751,"213,3364787"
197,366,158,610,2617,3233,3254,3497,1433,604,4,0,532982.353,6814289.837,"123,7713297"
258,404,238,633,2247,2874,2866,3174,1430,663,4,0,532981.267,6813875.733,"508,5318865"
214,358,194,636,2637,3317,3598,3580,1436,605,4,0,533186.673,6814074.578,"440,552017"
197,323,161,572,2432,3156,3420,3472,1385,603,4,0,533189.351,6814297.136,"408,6655658"
187,347,154,596,2275,2884,3072,3069,1276,555,4,0,532832.457,6814288.636,"223,5983329"
206,360,180,575,2347,2995,3374,3174,1374,603,4,0,532784.286,6813884.021,"232,1302194"
224,341,204,605,2293,2910,2978,3137,1419,629,4,0,533191.275,6813894.251,"359,046945"
195,365,177,604,2661,3298,3684,3593,1420,581,4,0,523652.449,6817079.017,"476,7633876"
192,333,149,569,2380,2792,2910,3103,1213,550,4,0,523461.778,6816888.422,"136,9819926"
235,369,174,561,2249,2836,3052,3071,1168,499,4,0,523862.442,6816893.113,"479,2797043"
177,283,157,452,1621,1893,2004,2071,886,400,4,0,523856.734,6817089.856,"898,6396163"
193,366,184,581,2552,3285,3636,3421,1451,590,4,0,523460.491,6817082.246,"376,3466226"
226,410,189,717,2474,3106,3184,3330,1301,560,4,0,528313.201,6821131.933,"49,93316034"
207,379,158,609,2149,2709,3012,2824,1020,412,4,0,528116.486,6820939.996,"94,12597311"
215,384,195,611,1700,1958,2148,2126,970,437,4,0,528314.201,6820727.867,"161,9092553"
236,419,185,769,3086,3774,3718,4074,1589,641,4,0,528515.393,6820938.359,"58,74026893"
201,305,171,619,1767,2168,1882,2330,1135,544,4,0,528510.652,6821126.634,"182,4329637"
205,369,151,654,2295,2823,3056,2995,1153,494,4,0,528118.439,6821121.573,"66,83966344"
223,410,175,667,2258,2761,2994,2981,1099,483,4,0,528113.345,6820746.653,"123,967917"
226,420,191,700,2473,3065,3042,3201,1227,530,4,0,528507.973,6820738.246,"81,30848471"
218,288,199,530,1598,2084,1568,2273,1039,511,4,0,528579.65,6808293.145,"422,1907683"
176,297,164,499,1699,2059,2308,2254,912,428,4,0,528376.001,6808108.958,"676,9678383"
255,377,202,575,2161,2798,2924,2845,1324,602,4,0,528576.659,6807894.719,"631,5955021"
217,346,194,578,1945,2385,2434,2543,1170,525,4,0,528771.42,6808096.103,"493,8664779"
295,612,365,1038,2416,2790,3160,3092,1427,752,4,0,528794.763,6808320.14,"53,11787371"
244,375,196,564,2148,2589,2980,2841,1304,595,4,0,528376.726,6808304.162,"354,0929464"
210,336,181,589,2104,2482,2496,2672,1222,565,4,0,528377.75,6807904.676,"767,3193363"
252,408,260,671,1768,2045,2264,2249,1148,614,4,0,528776.112,6807899.028,"296,1390265"
193,316,173,497,1499,1829,1826,1981,921,455,4,0,531689.014,6819632.406,"490,7603995"
209,368,186,599,1616,1861,2008,2005,944,459,4,0,531482.346,6819420.105,"308,2488008"
225,406,224,668,1845,2174,2228,2278,1064,533,4,0,531865.148,6819644.454,"264,9996068"
217,414,201,576,1460,1687,2082,1909,887,424,4,0,531480.424,6819633.315,"168,5145868"
199,361,181,552,1601,1985,2250,2163,923,425,4,0,531486.899,6819225.361,"343,8704097"
151,249,122,446,1860,2574,2350,2790,930,366,4,0,532209.287,6817519.401,"388,8495714"
214,320,162,618,2643,3404,3508,3667,1504,619,4,0,532008.605,6817324.147,"85,712039"
208,389,169,644,2287,2813,3100,2967,1189,496,4,0,532200.696,6817113.627,"349,3748526"
184,271,131,523,2360,3073,3124,3324,1224,492,4,0,532011.366,6817507.913,"391,8376976"
217,392,181,721,2689,3384,3508,3691,1586,667,4,0,532004.515,6817105.008,"238,1064717"
161,260,146,427,1331,1606,1656,1784,815,367,4,0,532403.852,6817100.051,"353,2279626"
205,414,156,712,2750,3315,3548,3667,1553,652,4,0,524092.594,6821210.819,"141,2282771"
206,401,187,655,2726,3434,3664,3699,1513,614,4,0,523884.4,6821041.52,"223,0085712"
214,404,182,649,2381,2915,3298,3227,1280,530,4,0,524091.689,6820811.884,"189,549422"
218,453,197,737,2713,3356,3872,3524,1461,623,4,0,524298.761,6821018.946,"248,6828655"
222,362,162,617,2594,3231,2966,3421,1257,542,4,0,524308.219,6821213.35,"241,0552803"
192,419,168,726,2681,3382,3464,3500,1495,623,4,0,523895.697,6821209.299,"233,1524731"
216,392,181,681,2908,3582,3806,3887,1574,623,4,0,523897.578,6820829.55,"91,64897381"
206,395,158,628,2673,3384,3530,3586,1338,561,4,0,524300.501,6820811.435,"50,68019187"
200,348,184,562,1891,2455,2568,2701,1266,560,4,0,527923.807,6806187.074,"501,7299678"
230,373,198,629,1950,2334,2598,2472,1109,509,4,0,527738.817,6805993.199,"211,7637808"
201,359,160,597,1993,2400,2482,2467,1148,524,4,0,527936.211,6805770.771,"583,0777699"
167,297,154,528,1841,2299,2520,2517,1001,450,4,0,528145.246,6805980.743,"769,7963356"
244,384,229,526,1871,2236,2590,2301,1174,563,4,0,528158.265,6806181.796,"299,4023748"
205,368,180,573,1889,2237,2370,2436,1172,540,4,0,527738.611,6806171.486,"513,3286152"
192,346,160,652,1946,2300,2398,2514,1189,561,4,0,527736.493,6805777.45,"116,9300936"
241,370,219,601,1874,2297,2314,2398,1126,576,4,0,528137.66,6805771.523,"509,3968703"
173,280,144,532,2057,2603,2228,2712,1064,443,4,0,523662.253,6809394.808,"321,223559"
223,364,194,512,1895,2278,2812,2466,1073,505,4,0,523461.167,6809205.693,"399,4259652"
259,361,215,589,1943,2478,2786,2695,1255,554,4,0,523644.015,6808989.195,"986,8286546"
184,255,142,492,1713,2017,1870,2220,938,428,4,0,523851.062,6809197.676,"492,7655894"
199,338,180,473,1398,1709,1628,1764,825,394,4,0,523851.482,6809403.498,"211,8424157"
178,338,164,494,1842,2207,2566,2428,965,426,4,0,523456.87,6809410.955,"1110,403397"
190,308,178,520,1890,2414,2702,2531,1053,470,4,0,523452.09,6808992.832,"853,0313753"
188,272,160,472,1528,1977,1892,2028,953,446,4,0,523857.017,6808997.763,"831,6033656"
218,444,209,735,2895,3633,4008,4019,1682,684,4,0,529166.863,6814242.04,"161,3194936"
211,420,204,722,2734,3382,3530,3613,1608,677,4,0,528986.714,6814034.647,"273,334906"
227,393,187,687,2898,3717,3962,3996,1587,654,4,0,529178.879,6813839.174,"238,1064717"
207,352,156,613,2712,3437,3726,3640,1490,626,4,0,529380.781,6814044.087,"308,7992451"
194,336,148,658,2757,3486,3582,3824,1489,617,4,0,529381.761,6814236.741,"371,4712589"
223,404,186,697,2820,3527,3820,3880,1674,682,4,0,528983.241,6814235.51,"280,4906818"
212,437,185,693,2686,3222,3592,3498,1474,622,4,0,528983.944,6813844.683,"331,6033656"
198,350,169,642,2363,2884,3008,3020,1154,506,4,0,529380.955,6813833.426,"321,0269718"
210,388,193,615,2245,2701,3098,2905,1213,532,4,0,524420.245,6819954.535,"183,4159"
205,388,172,627,1985,2260,2256,2463,1136,541,4,0,524432.418,6819527.504,"112,9197138"
187,322,153,507,1541,1944,2358,2109,1066,470,4,0,524218.137,6819556.678,"434,8509869"
227,369,182,629,2791,3635,3816,3915,1466,596,4,0,524623.394,6819552.721,"245,8913266"
255,402,212,647,2299,2923,3306,3328,1382,587,4,0,513325.519,6816776.889,"338,1300621"
222,382,203,675,2855,3497,3806,3813,1593,666,4,0,513144.735,6816598.792,"461,5082173"
233,377,205,604,2337,2892,2934,3020,1343,589,4,0,513341.088,6816401.31,"480,5378627"
215,305,185,541,2104,2659,2294,2653,1141,544,4,0,513533.566,6816601.144,"198,7890226"
215,318,190,497,1480,1871,1908,2021,918,445,4,0,513541.16,6816787.859,"887,0016513"
231,328,184,535,2030,2488,2424,2691,1211,541,4,0,513136.414,6816795.425,"901,8243296"
195,294,165,565,1969,2396,2284,2621,1158,498,4,0,513139.821,6816393.37,"380,671542"
208,350,174,558,2023,2539,3046,2946,1163,503,4,0,513550.94,6816406.53,"405,0483605"
231,365,224,626,1731,2049,2074,2212,1111,561,4,0,531319.402,6812306.149,"89,76173626"
177,287,161,475,1454,1754,1940,1852,823,381,4,0,531127.486,6812096.237,"648,8951797"
233,361,181,609,1832,2169,2280,2318,1064,525,4,0,531323.131,6811901.964,"137,6897067"
238,382,223,607,1479,1747,1880,1826,971,493,4,0,531521.248,6812094.909,"609,8922702"
230,372,220,645,1600,1874,1886,1979,1003,529,4,0,531522.163,6812307.39,"356,9238028"
219,382,230,623,1714,2002,2122,2149,1039,525,4,0,531118.283,6812298.819,"136,4315483"
211,357,165,546,1735,2046,2368,2251,1012,461,4,0,531138.833,6811934.637,"137,0606275"
233,472,225,851,2240,2633,2524,2788,1356,674,4,0,531514.851,6811901.015,"125,8158371"
208,442,165,770,2965,3605,3648,3911,1605,712,4,0,530139.63,6819018.254,"225,9180624"
244,415,234,665,1781,2063,2100,2231,1281,597,4,0,529964.766,6818791.445,"110,403397"
186,341,159,652,2664,3408,3514,3521,1496,622,4,0,530161.228,6818594.522,"301,2896123"
196,373,159,600,2121,2605,2654,2761,986,451,4,0,530365.571,6818779.529,"164,3469372"
174,348,157,622,2289,2807,2696,3039,1181,486,4,0,530364.399,6818988.51,"208,6970197"
192,365,172,602,2276,2788,2946,2932,1264,525,4,0,529956.395,6818996.607,"228,5130141"
191,321,171,604,2193,2951,2766,3125,1194,496,4,0,529960.784,6818598.201,"282,6924589"
183,306,154,592,2277,2664,2620,2905,1136,488,4,0,530346.416,6818589.014,"145,9070536"
210,378,159,672,2852,3652,3848,3972,1470,597,4,0,527930.635,6821818.782,"63,96948966"
195,338,149,626,2610,3259,3398,3587,1302,529,4,0,527739.114,6821616.749,"121,5695526"
198,399,172,725,2888,3595,3688,3843,1603,673,4,0,527941.777,6821412.739,"86,49838798"
202,414,166,681,2594,3291,3498,3544,1393,591,4,0,528144.099,6821623.95,"83,66753165"
196,360,157,641,3119,4028,4264,4392,1624,657,4,0,528134.92,6821832.411,"166,9418888"
202,413,184,646,2123,2645,2868,2789,1123,492,4,0,527735.674,6821814.903,"35,62160887"
203,418,176,650,2369,3039,3770,3279,1263,508,4,0,527743.147,6821416.146,"138,8299127"
206,439,182,734,2785,3458,3818,3800,1524,625,4,0,528137.791,6821415.418,"33,02665723"
210,378,186,556,1645,1940,2106,2118,968,450,4,0,534204.204,6811709.192,"226,3112369"
208,360,181,663,2894,3731,3912,4065,1542,629,4,0,533988.028,6811507.969,"201,5019266"
